state,activity,total_pct,male_pct,female_pct,age_15_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus,gender_gap
QLD,Badminton,1.06,1.06,1.07,6.45,2.66,1.47,1.07,0.21,0.08,0.15,-0.010000000000000009
QLD,Motor cycling,1.04,1.51,0.56,0.95,1.32,1.4,1.09,1.06,1.5,0.29,0.95
QLD,Underwater sports,0.74,0.86,0.63,0.0,0.58,0.95,0.63,0.98,1.19,0.4,0.22999999999999998
QLD,Pickleball/padel,1.07,1.28,0.89,0.0,1.03,1.28,1.1,1.11,1.67,0.67,0.39
SA,Walking (Recreational),53.17,44.88,61.45,30.02,33.36,46.13,52.38,59.02,60.97,61.48,-16.57
SA,Fitness/Gym,29.83,26.36,33.35,26.07,38.26,39.14,28.59,28.11,20.58,27.7,-6.990000000000002
SA,Bush walking,16.23,14.83,17.74,3.0,22.31,22.89,22.31,19.38,13.73,6.83,-2.9099999999999984
SA,Running/jogging,14.59,17.83,11.46,18.61,29.77,27.51,20.0,11.89,7.77,1.27,6.369999999999997
SA,Swimming,11.06,9.52,12.58,6.08,16.97,10.72,15.94,12.41,8.95,7.07,-3.0600000000000005
SA,Cycling,7.9,10.02,5.87,3.28,4.88,5.69,10.81,8.21,10.68,7.62,4.1499999999999995
SA,Pilates,6.3,1.13,11.45,3.72,12.22,11.21,6.88,4.73,3.99,2.82,-10.32
SA,Football/soccer,4.09,7.27,1.03,13.48,11.83,7.72,3.68,3.23,0.72,0.0,6.239999999999999
SA,Yoga,4.21,1.15,7.26,3.28,4.75,5.24,5.84,3.85,3.58,2.96,-6.109999999999999
SA,Basketball,4.18,5.85,2.53,9.96,10.97,5.67,5.92,3.78,0.95,0.72,3.32
SA,Australian football,3.69,5.9,1.32,7.01,11.42,6.58,4.64,2.49,0.46,0.2,4.58
SA,Golf,4.41,7.88,1.01,2.8,5.69,3.37,3.53,4.36,5.32,4.93,6.87
SA,Tennis,4.77,5.84,3.78,11.42,7.36,6.01,5.27,6.77,2.55,1.8,2.06
SA,Netball,2.65,1.04,4.25,3.72,11.24,5.31,2.35,0.99,0.0,0.0,-3.21
SA,Cricket,2.59,4.44,0.82,9.93,4.4,3.61,4.95,1.97,0.48,0.3,3.6200000000000006
SA,Dancing (recreational),1.66,0.35,2.96,3.28,1.75,2.71,1.38,0.91,0.72,1.82,-2.61
SA,Surfing,1.08,1.33,0.84,3.73,1.65,0.55,2.18,1.84,0.25,0.21,0.4900000000000001
SA,Table tennis,1.44,2.42,0.51,3.99,3.05,1.1,1.5,0.75,1.18,1.24,1.91
SA,Volleyball (indoor and outdoor),1.06,1.13,1.0,11.27,2.63,1.37,0.93,0.26,0.0,0.0,0.1299999999999999
SA,Weight lifting,1.18,1.38,0.92,3.99,1.59,1.48,1.18,0.65,1.97,0.27,0.45999999999999985
SA,Bowls,1.36,1.88,0.86,0.0,0.0,0.18,0.45,0.97,1.45,3.61,1.02
SA,Badminton,1.03,1.0,1.08,3.4,2.97,0.97,1.43,0.75,0.53,0.21,-0.08000000000000007
SA,Motor cycling,0.69,1.06,0.34,3.4,0.41,1.06,0.74,0.72,0.74,0.11,0.72
SA,Underwater sports,0.65,0.83,0.49,0.0,1.78,0.87,0.71,0.51,0.48,0.31,0.33999999999999997
SA,Pickleball/padel,0.59,0.39,0.79,0.0,0.72,0.0,1.0,0.71,0.69,0.64,-0.4
VIC,Walking (Recreational),51.2,43.1,59.1,31.04,34.22,43.22,48.0,58.76,68.58,58.44,-16.0
VIC,Fitness/Gym,31.88,30.87,32.98,27.55,39.37,38.71,32.82,30.17,28.89,24.64,-2.109999999999996
VIC,Bush walking,15.98,14.74,17.2,18.81,14.71,19.57,17.69,17.32,16.43,10.19,-2.459999999999999
VIC,Running/jogging,16.97,19.37,14.66,31.51,24.66,28.4,20.75,16.52,7.79,2.21,4.710000000000001
VIC,Swimming,12.91,11.78,14.0,13.67,13.0,13.83,15.37,14.84,14.16,7.59,-2.2200000000000006
VIC,Cycling,8.77,11.36,6.32,8.5,6.02,7.39,9.06,12.45,13.05,5.98,5.039999999999999
VIC,Pilates,7.57,1.3,13.67,4.62,8.53,12.21,9.1,7.18,5.5,3.78,-12.37
VIC,Football/soccer,4.94,7.72,2.31,14.81,10.97,7.97,5.56,3.2,0.87,0.07,5.41
VIC,Yoga,5.1,1.38,8.69,3.92,3.08,7.22,6.62,6.55,4.29,2.75,-7.31
VIC,Basketball,5.86,8.29,3.56,14.39,14.87,8.5,6.1,4.61,0.92,0.37,4.729999999999999
VIC,Australian football,4.13,6.59,1.8,11.66,9.63,7.2,4.15,2.14,0.98,0.09,4.79
VIC,Golf,5.04,8.31,1.95,1.41,3.71,3.46,3.6,4.73,8.16,7.47,6.36
VIC,Tennis,5.62,6.86,4.49,9.84,8.94,6.35,6.68,6.47,2.52,2.62,2.37
VIC,Netball,2.42,0.83,4.0,11.07,5.73,3.96,1.79,1.35,0.19,0.12,-3.17
VIC,Cricket,2.74,4.72,0.87,4.25,5.6,4.72,3.56,1.93,0.7,0.2,3.8499999999999996
VIC,Dancing (recreational),1.86,0.36,3.26,2.4,3.0,1.9,1.65,1.49,1.5,1.75,-2.9
VIC,Surfing,0.9,1.1,0.72,1.51,0.97,1.05,1.23,1.05,0.68,0.36,0.3800000000000001
VIC,Table tennis,2.19,3.17,1.27,5.65,4.0,2.8,2.05,2.18,0.83,0.86,1.9
VIC,Volleyball (indoor and outdoor),1.07,1.1,1.04,7.24,3.85,1.11,0.37,0.12,0.07,0.1,0.06000000000000005
VIC,Weight lifting,1.56,1.68,1.4,2.11,1.74,2.29,1.6,1.76,1.34,0.62,0.28
VIC,Bowls,0.8,1.01,0.6,0.0,0.0,0.23,0.38,0.54,1.11,2.27,0.41000000000000003
VIC,Badminton,2.16,2.77,1.6,7.83,4.79,3.81,1.73,0.93,0.5,0.34,1.17
VIC,Motor cycling,0.95,1.5,0.44,1.53,1.35,1.34,0.67,0.95,1.08,0.42,1.06
VIC,Underwater sports,0.67,0.63,0.72,0.0,0.4,0.83,1.04,0.72,0.75,0.44,-0.08999999999999997
VIC,Pickleball/padel,1.07,0.96,1.18,1.24,1.08,0.97,1.58,1.05,1.15,0.63,-0.21999999999999997
WA,Walking (Recreational),50.56,41.33,59.53,29.81,34.62,37.58,48.47,62.11,65.49,58.4,-18.200000000000003
WA,Fitness/Gym,32.87,30.92,34.79,36.26,40.39,40.5,33.94,32.32,27.1,24.34,-3.8699999999999974
WA,Bush walking,17.61,15.11,20.09,14.36,16.65,18.55,21.41,23.27,17.39,9.63,-4.98
WA,Running/jogging,16.45,17.78,15.12,22.94,25.38,28.71,19.8,15.34,8.51,1.69,2.660000000000002
WA,Swimming,16.28,14.14,18.48,21.13,16.28,18.12,19.33,15.22,17.04,10.25,-4.34
WA,Cycling,11.49,13.37,9.58,5.77,7.22,8.24,14.87,15.68,15.8,8.12,3.789999999999999
WA,Pilates,6.65,0.86,12.33,4.29,7.25,9.86,8.4,5.68,5.22,4.08,-11.47
WA,Football/soccer,5.74,9.83,1.83,16.96,13.2,10.09,5.85,2.94,1.1,0.09,8.0
WA,Yoga,4.89,1.38,8.31,2.53,2.82,4.8,6.57,5.73,5.16,4.14,-6.930000000000001
WA,Basketball,4.57,7.21,2.05,15.96,12.29,6.63,3.87,2.86,0.77,0.11,5.16
WA,Australian football,4.38,7.09,1.8,12.66,11.17,6.99,4.34,2.27,1.24,0.0,5.29
WA,Golf,4.34,7.02,1.79,1.23,2.07,3.57,3.95,5.08,7.68,4.38,5.2299999999999995
WA,Tennis,3.9,3.94,3.9,9.18,6.79,4.53,3.92,3.31,3.05,1.27,0.040000000000000036
WA,Netball,2.66,0.47,4.81,9.66,5.97,4.7,2.55,1.45,0.12,0.0,-4.34
WA,Cricket,2.53,4.42,0.68,5.0,4.57,4.73,2.72,2.04,0.88,0.11,3.7399999999999998
WA,Dancing (recreational),1.9,0.39,3.35,5.68,2.75,1.45,1.68,1.32,1.76,1.6,-2.96
WA,Surfing,1.84,2.16,1.5,3.12,2.02,1.82,2.14,2.44,1.91,0.49,0.6600000000000001
WA,Table tennis,1.51,1.59,1.45,2.96,2.32,1.55,1.94,0.95,0.96,1.04,0.14000000000000012
WA,Volleyball (indoor and outdoor),1.9,2.13,1.66,13.82,5.51,1.96,0.57,0.64,0.41,0.0,0.47
WA,Weight lifting,1.33,1.88,0.76,0.0,3.19,1.59,1.8,1.23,0.81,0.39,1.1199999999999999
WA,Bowls,0.76,1.03,0.51,0.0,0.0,0.24,0.11,0.0,1.63,2.57,0.52
WA,Badminton,1.85,2.02,1.71,10.03,3.42,2.91,1.61,0.51,0.4,0.17,0.31000000000000005
WA,Motor cycling,0.99,1.37,0.62,0.0,1.39,1.5,0.65,1.39,1.5,0.16,0.7500000000000001
WA,Underwater sports,1.49,1.53,1.47,0.0,0.66,2.57,2.01,1.18,2.39,0.39,0.06000000000000005
WA,Pickleball/padel,0.93,0.86,1.0,2.5,1.39,0.66,0.99,0.36,0.56,1.16,-0.14
