comparison,activity,year_a,pct_a,year_b,pct_b,change_pp
2024 vs 2025,Running/jogging,2024,15.988,2025,16.525,0.537
2024 vs 2025,Sailing,2024,0.338,2025,0.327,-0.011
2024 vs 2025,Scootering,2024,0.175,2025,0.085,-0.09
2024 vs 2025,Scouts,2024,0.037,2025,0.022,-0.015
2024 vs 2025,Sepak takraw,2024,0.002,2025,0.003,0.001
2024 vs 2025,Shooting/field,2024,0.173,2025,0.203,0.03
2024 vs 2025,Shooting/range,2024,0.122,2025,0.136,0.014
2024 vs 2025,Skate,2024,0.473,2025,0.396,-0.077
2024 vs 2025,Skeleton,2024,0.0,2025,0.0,0.0
2024 vs 2025,Ski & snowboard,2024,0.83,2025,0.812,-0.018
2024 vs 2025,Skirmish,2024,0.003,2025,0.003,0.0
2024 vs 2025,Softball,2024,0.131,2025,0.136,0.005
2024 vs 2025,Sport climbing,2024,0.43,2025,0.542,0.112
2024 vs 2025,Squash,2024,0.461,2025,0.39,-0.071
2024 vs 2025,Surfing,2024,1.382,2025,1.385,0.003
2024 vs 2025,Swimming,2024,15.191,2025,15.39,0.199
2024 vs 2025,Sword fighting,2024,0.015,2025,0.023,0.008
2024 vs 2025,Synchronised swimming,2024,0.071,2025,0.052,-0.019
2024 vs 2025,Table tennis,2024,1.639,2025,1.79,0.151
2024 vs 2025,Taekwondo/Taekwon-do,2024,0.143,2025,0.115,-0.028
2024 vs 2025,Tee ball,2024,0.03,2025,0.012,-0.018
2024 vs 2025,Tennis,2024,5.081,2025,4.941,-0.14
2024 vs 2025,Tenpin bowling,2024,0.634,2025,0.629,-0.005
2024 vs 2025,Tobogganing,2024,0.0,2025,0.002,0.002
2024 vs 2025,Touch football,2024,0.768,2025,0.712,-0.056
2024 vs 2025,Triathlon,2024,0.113,2025,0.143,0.03
2024 vs 2025,Underwater sports,2024,0.808,2025,0.836,0.028
2024 vs 2025,Virtual based physical activity,2024,1.03,2025,0.95,-0.08
2024 vs 2025,Volleyball (indoor and outdoor),2024,1.426,2025,1.307,-0.119
2024 vs 2025,Walking (Recreational),2024,49.926,2025,50.204,0.278
2024 vs 2025,Water polo,2024,0.079,2025,0.092,0.013
2024 vs 2025,Waterskiing/Wakeboarding,2024,0.197,2025,0.15,-0.047
2024 vs 2025,Weight lifting,2024,1.448,2025,0.982,-0.466
2024 vs 2025,Wheelchair rugby,2024,0.012,2025,0.002,-0.01
2024 vs 2025,Wood chopping,2024,0.04,2025,0.033,-0.007
2024 vs 2025,Wrestling,2024,0.035,2025,0.04,0.005
2024 vs 2025,Yoga,2024,4.98,2025,5.072,0.092
